0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
0.0171 0.0169 0.0115 0.0138 0.7319 2.1243 0.0507 0.0002 0.024 142.6406 9.7612 146.0 0.0 2.1235 11.7923 192.0 133.0 142.969 0.0297 0.03 0.0045 0.005 0.2458 1.1198 0.0651 0.0024 0.0419 276.25 94.6109 201.0 13.3434 0.4597 1.7177 484.0 192.0 291.5761 0.011 0.0155 0.0017 0.0015 1.3886 3.539 0.0507 0.0001 0.019 190.74 85.9054 146.0 19.2738 1.7366 4.7505 484.0 133.0 209.016 1.0
0.0516 0.065 0.0015 0.0022 1.0741 0.1162 0.2154 0.0001 0.0824 231.5385 15.4184 228.0 0.0 3.9132 13.6654 297.0 228.0 232.0381 0.0365 0.0429 0.035 0.0028 3.9644 19.5417 0.2926 0.0004 0.056 1617.098 174.0729 1676.0 0.0 -2.9576 8.5701 1676.0 777.0 1626.288 0.0223 0.0307 0.0142 0.0208 2.4751 7.7525 0.1654 0.0001 0.0378 1076.73 692.6643 1676.0 0.0 -0.3595 -1.8307 1676.0 228.0 1278.411 0.0
0.0181 0.018 0.0114 0.0136 0.6749 1.9153 0.0507 0.0 0.0254 143.2742 11.721 146.0 0.0 2.3365 10.5739 192.0 133.0 143.7451 0.028 0.0306 0.0032 0.0039 0.319 1.1079 0.0646 0.0004 0.0412 468.9211 466.5995 288.5 143.0709 1.8359 4.7672 1594.0 192.0 657.1702 0.0113 0.0164 0.0017 0.0017 1.3774 3.3861 0.0507 0.0 0.0198 267.02 326.6339 146.0 19.2738 3.461 14.0625 1594.0 133.0 420.6215 1.0
0.0582 0.209 0.0027 0.0036 4.3377 19.3536 1.2115 0.0001 0.2147 232.1333 11.5475 228.0 8.8956 1.4399 2.3215 266.0 216.0 232.414 0.0481 0.1904 0.0021 0.0025 4.7461 23.3588 1.1929 0.0001 0.1947 239.7091 28.0196 228.0 17.7912 1.3894 0.3259 300.0 216.0 241.3116 0.0332 0.156 0.0009 0.001 5.6526 33.8803 1.1929 0.0001 0.1587 236.3 22.402 228.0 8.8956 1.9035 2.6326 300.0 216.0 237.3489 0.0
0.0084 0.0133 0.0007 0.001 1.5435 3.913 0.0404 0.0 0.0156 142.675 14.5168 146.0 0.0 -2.1523 12.4563 165.0 76.0 143.3933 0.0056 0.0139 0.0008 0.0006 2.9896 10.6248 0.0603 0.0 0.0149 894.4667 656.1559 458.0 394.3716 0.0436 1.061 1594.0 192.0 1106.0902 0.0034 0.0083 0.0007 0.0006 3.3499 13.5967 0.0404 0.0 0.0089 593.75 627.4422 192.0 87.4734 0.8872 1.8576 1594.0 76.0 861.5602 1.0
1.017 2.246 0.0319 0.047 1.9791 2.2783 7.7833 0.0001 2.4392 385.0256 277.4196 224.0 2.9652 2.1237 4.5569 1484.0 222.0 472.4754 0.6729 1.678 0.0128 0.0187 2.8227 7.1691 7.5933 0.0001 1.7951 459.2131 415.666 265.0 72.6474 2.1173 3.3197 1676.0 216.0 617.1082 0.4105 1.322 0.0038 0.0052 3.8762 14.9015 7.5933 0.0001 1.3779 430.28 368.2085 265.0 72.6474 2.3126 4.6683 1676.0 216.0 565.1218 0.0
0.0166 0.0163 0.0085 0.01 0.7386 2.1328 0.0505 0.0 0.0232 143.5645 10.4264 146.0 0.0 1.8363 9.2619 192.0 133.0 143.9365 0.0246 0.0292 0.003 0.0034 0.5684 1.3858 0.0646 0.0004 0.0379 632.8947 536.9505 398.0 305.4156 0.8506 2.1936 1594.0 192.0 825.3995 0.0103 0.0148 0.0018 0.0016 1.4325 3.6873 0.0505 0.0 0.018 329.51 405.9609 146.0 19.2738 2.3027 7.0218 1594.0 133.0 521.2802 1.0
0.0812 0.1148 0.0812 0.1203 0.0 -2.75 0.1623 0.1623 0.1148 257.5 47.3762 257.5 49.6671 0.0 -2.75 291.0 224.0 259.67 0.0053 0.016 0.0002 0.0001 3.3986 11.0194 0.086 0.0001 0.0168 299.3776 163.0005 237.0 14.826 2.0967 2.956 848.0 216.0 340.4776 0.0052 0.0158 0.0002 0.0001 3.4359 11.2731 0.0854 0.0001 0.0166 298.54 161.5234 237.0 14.826 2.1261 3.0978 848.0 216.0 339.0502 0.0
0.017 0.0171 0.011 0.0129 0.844 2.2992 0.0511 0.0001 0.024 143.5238 10.1741 146.0 0.0 1.8446 9.7506 192.0 133.0 143.8783 0.0288 0.0304 0.0034 0.0048 0.2778 1.0982 0.0648 0.0001 0.0415 260.6757 76.5231 192.0 0.0 0.3142 1.3166 390.0 192.0 271.3841 0.0107 0.0156 0.0016 0.0014 1.5036 3.9027 0.0511 0.0001 0.0188 186.87 73.6594 146.0 19.2738 1.542 3.9254 390.0 133.0 200.7283 1.0
0.018 0.0167 0.0121 0.0144 0.6797 2.09 0.0537 0.0009 0.0245 143.6094 11.7725 146.0 0.0 2.2107 9.8999 192.0 133.0 144.0836 0.0303 0.0298 0.0121 0.0144 0.2064 1.1113 0.0648 0.0023 0.0422 291.0 108.5507 201.0 13.3434 0.3018 1.3609 493.0 192.0 310.0596 0.0115 0.0156 0.0017 0.0015 1.3216 3.4041 0.0537 0.0002 0.0193 196.67 96.4871 146.0 19.2738 1.6898 4.349 493.0 133.0 218.851 1.0
0.0055 0.0157 0.0011 0.0016 3.0866 8.194 0.0619 0.0001 0.0161 267.8 154.1447 228.0 0.0 3.1328 8.3867 825.0 228.0 306.4203 0.0011 0.0027 0.0004 0.0001 5.6231 35.9654 0.0214 0.0001 0.0029 1457.1412 458.5707 1676.0 0.0 -1.8062 1.4827 1676.0 321.0 1526.7854 0.0009 0.0023 0.0004 0.0001 6.8034 52.9391 0.0209 0.0001 0.0025 1278.74 603.2911 1676.0 0.0 -0.9656 -0.973 1676.0 228.0 1412.6204 0.0
12.7779 22.475 4.943 7.1773 2.6199 7.2069 104.232 0.0068 25.5144 294.1724 66.0211 323.0 25.2042 1.6148 5.1583 549.0 204.0 301.2406 5.3441 8.7507 3.0453 4.2758 3.1463 12.4446 54.1648 0.0001 10.2008 383.169 180.409 389.0 87.4734 4.5026 27.0039 1603.0 222.0 422.9746 3.7951 7.7434 0.1331 0.1971 3.7307 17.6908 54.1648 0.0001 8.5885 357.36 160.9142 323.0 114.1602 4.8908 33.7517 1603.0 204.0 391.5873 0.0
0.0183 0.0177 0.0113 0.0132 0.6631 1.9326 0.0512 0.0005 0.0254 142.6875 10.1166 146.0 0.0 1.9905 10.4125 192.0 133.0 143.0401 0.0316 0.0311 0.0039 0.0042 0.1107 1.0145 0.0646 0.0022 0.044 262.7222 75.8783 234.0 62.2692 0.3036 1.426 405.0 192.0 273.1676 0.0117 0.0164 0.0016 0.0014 1.3145 3.2455 0.0509 0.0002 0.0201 185.9 73.85 146.0 19.2738 1.5494 4.008 405.0 133.0 199.8952 1.0
0.0034 0.006 0.0009 0.0011 2.9928 9.1414 0.0297 0.0002 0.0068 310.8889 204.6508 228.0 0.0 2.0072 2.1043 828.0 228.0 370.6352 0.002 0.0064 0.0005 0.0001 6.8285 48.3045 0.0504 0.0001 0.0066 1490.703 359.8066 1596.0 0.0 -3.0816 7.6419 1596.0 236.0 1532.852 0.0012 0.0037 0.0004 0.0003 5.9378 37.3368 0.0291 0.0001 0.0039 1065.97 648.9517 1588.0 11.8608 -0.4424 -1.7659 1596.0 228.0 1246.282 0.0
0.0762 0.1294 0.022 0.0324 2.4919 7.0822 0.6463 0.0001 0.1488 385.9268 293.4221 228.0 8.8956 2.3916 5.363 1506.0 222.0 482.6346 0.0529 0.0918 0.0118 0.0173 3.0832 11.7804 0.537 0.0002 0.1053 488.6949 467.4862 228.0 17.7912 1.6777 1.5006 1676.0 216.0 673.5443 0.0323 0.0718 0.0023 0.0031 4.3494 24.4185 0.537 0.0001 0.0784 446.56 406.6971 228.0 17.7912 2.016 3.0455 1676.0 216.0 602.6312 0.0
0.1633 0.1056 0.164 0.1268 0.4147 -0.8415 0.3833 0.0533 0.1927 232.3125 17.25 228.0 0.0 3.2812 9.3633 297.0 228.0 232.9121 0.0324 0.0194 0.0349 0.0049 1.9833 11.7757 0.1448 0.0004 0.0377 1562.524 355.7672 1676.0 0.0 -2.9859 7.4217 1676.0 282.0 1602.044 0.0272 0.0199 0.0342 0.0071 1.1658 5.6304 0.1304 0.0003 0.0336 1349.69 588.5384 1676.0 0.0 -1.2809 -0.2986 1676.0 228.0 1471.25 0.0
0.0168 0.0166 0.0092 0.0117 0.8113 2.2775 0.0506 0.0011 0.0235 142.9016 9.8331 146.0 0.0 2.1326 11.769 192.0 133.0 143.234 0.0257 0.03 0.0029 0.0034 0.4782 1.2432 0.0669 0.0005 0.0392 458.4103 457.8818 277.0 126.021 1.9375 5.1687 1594.0 192.0 643.7545 0.0103 0.0151 0.0016 0.0015 1.5212 3.9924 0.0506 0.0002 0.0182 265.95 323.1929 146.0 19.2738 3.5301 14.6084 1594.0 133.0 417.2991 1.0
0.0179 0.017 0.0131 0.0163 0.6162 1.9472 0.0506 0.0001 0.0246 143.2097 10.6465 146.0 0.0 2.0041 9.5713 192.0 133.0 143.5985 0.0297 0.0301 0.0048 0.0067 0.2072 1.106 0.0645 0.0005 0.042 446.8421 460.3939 283.0 134.9166 1.9816 5.2301 1594.0 192.0 637.2224 0.0113 0.0157 0.0015 0.0013 1.2776 3.2144 0.0506 0.0001 0.0193 258.59 318.1637 146.0 19.2738 3.6707 15.4418 1594.0 133.0 408.7599 1.0
0.0107 0.0138 0.0038 0.0046 1.5506 4.3569 0.0504 0.0 0.0174 146.4 10.8984 146.0 0.0 1.8242 8.4277 192.0 133.0 146.797 0.0107 0.0215 0.0009 0.0006 1.8699 4.631 0.0634 0.0002 0.0239 1188.76 589.8722 1594.0 0.0 -0.9509 2.0819 1594.0 192.0 1324.4397 0.0054 0.0109 0.0009 0.0007 2.6608 9.4711 0.0504 0.0 0.0121 667.58 668.3176 192.0 68.1996 0.5843 1.4086 1594.0 133.0 942.2552 1.0
1.5828 4.5923 0.0007 0.0009 3.0436 8.3399 19.8132 0.0001 4.7999 322.7105 322.3142 228.0 17.7912 3.6269 11.9644 1646.0 216.0 453.0945 0.9712 3.6055 0.0003 0.0002 4.2481 17.753 19.6133 0.0001 3.7059 667.4839 455.7193 536.0 10.3782 1.4073 0.6004 1646.0 222.0 806.1421 0.6034 2.8533 0.0003 0.0002 5.6054 31.9586 19.6133 0.0001 2.9024 536.47 441.6776 516.5 409.9389 1.7589 1.8883 1646.0 216.0 693.49 0.0
0.0118 0.0182 0.0019 0.0015 1.6929 4.6572 0.0655 0.0 0.0215 145.0444 5.7641 146.0 0.0 -0.1283 6.2693 165.0 133.0 145.1564 0.0097 0.0214 0.0008 0.0005 2.0161 5.0847 0.0647 0.0002 0.0233 1342.5273 509.5719 1594.0 0.0 -1.6244 3.771 1594.0 192.0 1434.3367 0.0053 0.0132 0.0006 0.0004 3.0381 11.5311 0.0647 0.0 0.0141 803.66 707.2062 192.0 87.4734 0.1985 1.0699 1594.0 133.0 1068.1801 1.0
0.0162 0.0169 0.0092 0.0105 0.9788 2.7694 0.0635 0.0003 0.0233 144.4444 11.6657 146.0 0.0 2.1108 9.7012 192.0 133.0 144.9073 0.027 0.0297 0.0032 0.0047 0.4084 1.2236 0.0671 0.0006 0.0398 462.5405 448.3659 337.0 214.977 1.8904 5.0668 1594.0 192.0 639.955 0.0102 0.0151 0.0017 0.0016 1.6188 4.4823 0.0626 0.0002 0.0182 262.14 311.4679 146.0 19.2738 3.5593 15.003 1594.0 133.0 405.9058 1.0
0.2197 0.3478 0.0756 0.1114 1.6883 1.7432 1.2899 0.0001 0.4067 674.871 654.6908 236.0 20.7564 0.8466 -1.2844 1676.0 222.0 932.8689 0.17 0.6091 0.0026 0.0035 6.552 46.5547 4.8246 0.0002 0.6281 302.029 286.1284 228.0 5.9304 3.9482 14.6522 1676.0 216.0 414.6136 0.1173 0.5058 0.0019 0.0025 8.1549 72.057 4.8227 0.0001 0.5168 417.61 464.9229 228.0 10.3782 2.2052 3.0492 1676.0 216.0 623.2093 0.0
0.405 0.4731 0.1249 0.1851 0.6299 -1.3017 1.2887 0.0002 0.6025 246.8889 22.6078 228.0 0.0 0.2297 -2.1075 273.0 228.0 247.8073 0.051 0.0684 0.0005 0.0005 0.8039 -0.9795 0.2031 0.0001 0.085 350.3956 261.1358 228.0 0.0 2.4614 4.9272 1300.0 228.0 436.1418 0.0464 0.0655 0.0005 0.0006 0.9379 -0.7263 0.2031 0.0001 0.08 341.08 250.8391 228.0 0.0 2.6305 5.859 1300.0 228.0 422.6424 0.0
0.006 0.0146 0.0006 0.0007 3.3706 11.3091 0.0761 0.0001 0.0156 319.8085 215.1459 228.0 0.0 1.9092 1.7043 837.0 228.0 384.162 0.0069 0.0178 0.0006 0.0007 3.1728 9.204 0.0825 0.0001 0.0189 1206.566 602.7624 1596.0 0.0 -0.9374 -1.0712 1596.0 228.0 1346.205 0.0037 0.0113 0.0003 0.0003 4.5162 21.416 0.0754 0.0001 0.0119 789.79 640.4679 236.0 11.8608 0.3651 -1.7785 1596.0 228.0 1014.823 0.0
0.0075 0.011 0.0021 0.0029 1.9702 6.6444 0.0503 0.0 0.0132 136.42 23.1173 146.0 0.0 -2.1155 5.9019 165.0 76.0 138.3262 0.0065 0.0159 0.0009 0.0005 3.9951 21.4586 0.0961 0.0002 0.017 1311.56 519.5969 1594.0 0.0 -1.4713 3.4277 1594.0 192.0 1408.819 0.0038 0.008 0.0007 0.0006 3.3613 15.7 0.0503 0.0 0.0088 723.99 694.7065 178.5 67.4583 0.4015 1.2198 1594.0 76.0 1000.9758 1.0
1.0523 4.0798 0.006 0.0089 3.4211 10.329 16.8801 0.0002 4.0955 409.4118 302.1024 304.0 23.7216 2.7999 7.1841 1504.0 288.0 503.503 0.2428 1.8365 0.0006 0.0005 8.5501 73.1072 16.6144 0.0001 1.8415 1136.0 567.5477 1248.0 616.7616 -0.5739 -1.3387 1664.0 288.0 1268.3555 0.2015 1.6613 0.0006 0.0005 9.4823 90.0022 16.5156 0.0001 1.6653 1012.48 597.3207 1152.0 759.0912 -0.1793 -1.7311 1664.0 288.0 1174.0272 0.0
0.0359 0.1311 0.0047 0.0063 4.7891 23.033 0.7597 0.0001 0.1341 304.0 66.9055 288.0 0.0 3.72 12.1791 576.0 288.0 311.0756 0.0038 0.0065 0.0017 0.0018 3.2755 10.882 0.0359 0.0004 0.0075 1662.5 6.8173 1664.0 0.0 -4.1874 15.7815 1664.0 1632.0 1662.5138 0.013 0.0797 0.0009 0.001 8.4953 74.9034 0.7597 0.0001 0.0803 1173.44 656.5938 1664.0 0.0 -0.5843 -1.6647 1664.0 288.0 1343.0435 0.0
0.018 0.0168 0.0113 0.0135 0.6221 1.9759 0.0508 0.0007 0.0246 142.7937 9.7619 146.0 0.0 2.1257 11.8305 192.0 133.0 143.1217 0.0306 0.0301 0.0047 0.007 0.1821 1.0892 0.0649 0.0022 0.0426 273.6216 87.3662 210.0 26.6868 0.2815 1.3915 433.0 192.0 286.8717 0.0114 0.0156 0.0016 0.0013 1.302 3.2956 0.0508 0.0006 0.0192 191.2 82.8571 146.0 19.2738 1.5606 3.9738 433.0 133.0 208.2164 1.0
0.9156 5.2965 0.0017 0.0023 5.848 33.0682 33.5582 0.0001 5.3094 278.05 46.8565 293.0 53.3736 -0.2626 -1.7267 329.0 216.0 281.8731 0.6131 4.3251 0.0794 0.1125 7.3613 53.0826 33.5541 0.0001 4.3325 341.4833 18.0428 345.0 5.9304 -2.5186 6.4285 361.0 270.0 341.9517 0.3678 3.3447 0.001 0.0012 9.6991 93.0223 33.4773 0.0001 3.3482 316.11 45.1041 334.0 22.239 -1.2542 0.1583 361.0 216.0 319.2798 0.0
0.002 0.0037 0.0003 0.0002 2.2034 4.478 0.0151 0.0001 0.0041 217.0909 3.5309 216.0 0.0 2.6542 5.2915 228.0 216.0 217.1183 0.0007 0.001 0.0004 0.0002 3.2453 9.5389 0.005 0.0001 0.0012 1415.9359 433.5203 1676.0 0.0 -1.568 1.0747 1676.0 266.0 1480.0016 0.0005 0.0007 0.0004 0.0002 3.5859 13.2022 0.0041 0.0001 0.0008 1152.19 628.7272 1553.5 181.6185 -0.6065 -1.4671 1676.0 216.0 1311.0632 0.0
0.1007 0.1679 0.0316 0.0418 1.8583 2.2877 0.5825 0.0027 0.1906 249.7857 46.6116 228.0 0.0 2.3412 4.7438 400.0 228.0 253.792 0.0164 0.0592 0.0005 0.0006 5.3203 33.0213 0.453 0.0001 0.0611 714.1163 620.4813 366.0 204.5988 0.7781 -1.2552 1676.0 216.0 943.6537 0.0141 0.0468 0.0006 0.0006 4.9483 28.9526 0.357 0.0001 0.0487 649.11 597.5442 272.0 83.0256 1.0063 -0.8345 1676.0 216.0 880.2456 0.0
0.0083 0.0138 0.001 0.0015 1.7544 4.9175 0.0505 0.0 0.016 137.6133 17.948 146.0 0.0 -2.6216 9.648 165.0 76.0 138.7633 0.024 0.0301 0.0031 0.0043 0.5828 1.3639 0.0668 0.0 0.0381 441.6 393.7184 343.0 223.8726 2.1011 6.5547 1594.0 192.0 586.3652 0.0062 0.0122 0.0008 0.001 2.2251 6.9037 0.0499 0.0 0.0136 213.61 235.2052 146.0 19.2738 4.5383 25.372 1594.0 76.0 316.8556 1.0
0.0905 0.1407 0.0284 0.0419 1.9835 2.9932 0.5215 0.0001 0.166 420.6889 373.7168 246.0 26.6868 2.4499 4.8211 1646.0 228.0 559.9462 0.0761 0.1233 0.0254 0.0279 2.3193 4.61 0.5215 0.0001 0.144 309.8545 254.9397 228.0 17.7912 3.7676 12.9693 1447.0 216.0 399.7779 0.0418 0.0973 0.0042 0.0061 3.4526 12.0237 0.5213 0.0001 0.1054 359.73 317.1679 240.0 35.5824 3.0684 8.3482 1646.0 216.0 478.5344 0.0
0.0185 0.0178 0.0116 0.0151 0.6093 1.8863 0.0541 0.0 0.0256 142.9375 10.1463 146.0 0.0 1.9728 10.2434 192.0 133.0 143.2916 0.0315 0.0308 0.0044 0.0049 0.1116 1.0164 0.0645 0.0021 0.0438 259.1944 72.7256 224.0 47.4432 0.3572 1.5417 396.0 192.0 268.931 0.0119 0.0164 0.0016 0.0015 1.2717 3.1475 0.0541 0.0 0.0202 184.79 71.28 146.0 19.2738 1.5561 4.1027 396.0 133.0 197.9327 1.0
0.0157 0.0164 0.0101 0.0115 0.9193 2.4262 0.0507 0.0001 0.0227 143.5469 9.9665 146.0 0.0 1.8417 10.2049 192.0 133.0 143.8871 0.0289 0.0285 0.0149 0.0199 0.2961 1.2441 0.065 0.0009 0.0403 374.8333 362.0809 258.5 98.5929 2.7387 9.2265 1594.0 192.0 517.6493 0.0104 0.0151 0.0018 0.0016 1.4967 3.8449 0.0507 0.0 0.0183 226.81 242.6149 146.0 19.2738 4.6936 25.551 1594.0 133.0 331.2343 1.0
0.0128 0.0241 0.0027 0.0036 2.0863 3.0272 0.0894 0.0001 0.0268 291.88 12.594 293.0 14.826 -0.581 -1.1354 306.0 272.0 292.1407 0.0043 0.0152 0.0002 0.0001 4.3412 18.2764 0.0883 0.0001 0.0157 309.8533 22.0642 303.0 13.3434 1.1979 -0.0398 362.0 293.0 310.6275 0.0032 0.0124 0.0002 0.0001 5.2831 28.4692 0.0874 0.0001 0.0127 305.36 21.5297 303.0 14.826 1.2158 0.8198 362.0 272.0 306.1105 0.0
0.0161 0.0162 0.0083 0.0105 0.8875 2.6597 0.0611 0.0006 0.0228 143.873 10.0715 146.0 0.0 1.7649 9.728 192.0 133.0 144.2195 0.0271 0.03 0.0029 0.0034 0.3945 1.1969 0.0644 0.0006 0.0401 528.7027 461.8104 469.0 410.6802 1.5366 4.1408 1594.0 192.0 697.8764 0.0102 0.0147 0.0017 0.0014 1.5338 4.2598 0.0602 0.0 0.0178 286.26 335.3882 146.0 19.2738 3.041 11.8301 1594.0 133.0 439.6648 1.0
0.0161 0.0162 0.0096 0.0113 0.9204 2.5903 0.0511 0.0 0.0227 145.0299 11.9987 146.0 11.8608 1.2959 5.3254 192.0 133.0 145.518 0.0323 0.031 0.0065 0.0096 0.0601 1.0089 0.0654 0.0022 0.0445 253.0303 191.7279 214.0 32.6172 5.0195 27.594 1290.0 192.0 315.7056 0.0108 0.0148 0.0016 0.0017 1.4484 3.8843 0.0511 0.0 0.0182 180.67 120.7595 146.0 19.2738 7.9481 72.8172 1290.0 133.0 216.9762 1.0
0.0169 0.0168 0.0101 0.0117 0.7645 2.1467 0.0511 0.0001 0.0237 143.254 9.8701 146.0 0.0 1.9784 10.9736 192.0 133.0 143.5882 0.0287 0.0309 0.0034 0.0041 0.2747 1.0832 0.0664 0.0006 0.0419 431.1622 459.2069 264.0 106.7472 2.0014 5.268 1594.0 192.0 625.358 0.0107 0.0153 0.0016 0.0016 1.4208 3.6153 0.0511 0.0001 0.0186 249.78 310.2555 146.0 19.2738 3.7921 16.2367 1594.0 133.0 397.0969 1.0
0.0145 0.0162 0.0035 0.0045 0.8723 2.4132 0.0508 0.0002 0.0216 144.2963 8.7472 146.0 0.0 0.9084 5.1177 175.0 133.0 144.5563 0.016 0.0304 0.0012 0.001 2.0436 6.4859 0.1298 0.0004 0.0341 1102.2609 610.945 1594.0 0.0 -0.6351 1.6137 1594.0 192.0 1257.0277 0.0078 0.0137 0.0009 0.0009 1.797 4.9926 0.0508 0.0 0.0157 584.96 632.424 158.0 37.065 0.8574 1.8409 1594.0 133.0 859.15 1.0
0.0044 0.0057 0.0025 0.0033 1.7788 2.5538 0.0231 0.0002 0.0072 337.0909 389.4386 216.0 0.0 2.7328 5.6777 1646.0 216.0 510.5849 0.0024 0.0038 0.0004 0.0002 2.7471 8.0217 0.0202 0.0003 0.0045 1575.582 167.1278 1596.0 0.0 -7.8225 60.0889 1596.0 228.0 1584.29 0.0016 0.0031 0.0004 0.0002 3.6186 14.929 0.0198 0.0001 0.0035 1166.88 640.4729 1596.0 0.0 -0.8078 -1.3587 1646.0 216.0 1329.553 0.0
